activity_id,student_id,activity_name,participation_level,start_date,performance_rating,achievements,attendance_percentage,instructor
ACT_INST_001_000001,STU_INST_001_0001,Music,Beginner,2025-07-22,Needs Improvement,,72,Maya Nair
ACT_INST_001_000002,STU_INST_001_0002,Athletics,Advanced,2025-07-12,Very Good,,100,Rahul Arora
ACT_INST_001_000003,STU_INST_001_0002,Dance,Intermediate,2025-03-20,Needs Improvement,,97,Karan Jadhav
ACT_INST_001_000004,STU_INST_001_0003,Basketball,Beginner,2024-10-07,Excellent,,72,Nitin Modi
ACT_INST_001_000005,STU_INST_001_0003,Debate,Intermediate,2024-11-12,Needs Improvement,,99,Aarav Kulkarni
ACT_INST_001_000006,STU_INST_001_0003,Environmental Club,Beginner,2025-07-22,Good,,78,Rudra Desai
ACT_INST_001_000007,STU_INST_001_0005,Badminton,Advanced,2025-06-15,Very Good,,70,Ishika Patel
ACT_INST_001_000008,STU_INST_001_0005,Music,Advanced,2025-04-19,Average,,72,Akash Agarwal
ACT_INST_001_000009,STU_INST_001_0005,Quiz,Advanced,2024-11-30,Very Good,,88,Laksh Mehta
ACT_INST_001_000010,STU_INST_001_0010,Dance,Advanced,2024-12-18,Excellent,School Level Winner,75,Swati Shinde
ACT_INST_001_000011,STU_INST_001_0013,Art & Craft,Beginner,2024-09-26,Average,,71,Nitin Chaturvedi
ACT_INST_001_000012,STU_INST_001_0013,Cultural Committee,Intermediate,2024-11-26,Needs Improvement,,92,Varun Kulkarni
ACT_INST_001_000013,STU_INST_001_0014,Table Tennis,Advanced,2025-01-09,Excellent,,86,Preeti Das
ACT_INST_001_000014,STU_INST_001_0015,Literary Society,Intermediate,2024-12-08,Very Good,School Level Winner,99,Yash Venkatesh
ACT_INST_001_000015,STU_INST_001_0015,Yoga,Advanced,2025-03-31,Excellent,Certificate of Participation,85,Sunita Panchal
ACT_INST_001_000016,STU_INST_001_0015,Music,Intermediate,2024-10-16,Good,,93,Pooja Shah
ACT_INST_001_000017,STU_INST_001_0017,Debate,Intermediate,2025-01-08,Average,,95,Preeti Modi
ACT_INST_001_000018,STU_INST_001_0017,Basketball,Beginner,2025-06-11,Excellent,,86,Aarohi Mukherjee
ACT_INST_001_000019,STU_INST_001_0017,Badminton,Advanced,2025-01-07,Very Good,,90,Ayaan Mathur
ACT_INST_001_000020,STU_INST_001_0018,Environmental Club,Advanced,2024-10-08,Average,,99,Krishna Jain
ACT_INST_001_000021,STU_INST_001_0018,Cricket,Advanced,2025-05-22,Needs Improvement,,97,Rahul Verma
ACT_INST_001_000022,STU_INST_001_0019,Cricket,Beginner,2025-01-21,Good,,89,Sai Hegde
ACT_INST_001_000023,STU_INST_001_0022,Environmental Club,Advanced,2024-09-25,Needs Improvement,District Level Participant,86,Sana Sen
ACT_INST_001_000024,STU_INST_001_0022,Karate,Intermediate,2025-04-05,Good,,85,Shivansh Deshpande
ACT_INST_001_000025,STU_INST_001_0022,Environmental Club,Advanced,2025-01-21,Needs Improvement,,98,Ishika Kumar
ACT_INST_001_000026,STU_INST_001_0024,Table Tennis,Beginner,2025-03-06,Excellent,,84,Shalini Pillai
