alert_id,student_id,alert_type,priority,message,created_date,status,assigned_to,escalated,parent_notified,sms_sent,email_sent,action_required,follow_up_date
ALT_INST_001_000001,STU_INST_001_0001,Fee Defaulter,Medium,Fee Defaulter flagged for student Arjun Iyer - Class 12th D,2025-09-12 07:43:16,Active,MEN_INST_001_001,False,True,True,True,True,2025-09-25
ALT_INST_001_000002,STU_INST_001_0001,Behavioral Issues,Medium,Behavioral Issues flagged for student Arjun Iyer - Class 12th D,2025-08-18 07:43:16,Acknowledged,MEN_INST_001_001,False,True,True,True,False,
ALT_INST_001_000003,STU_INST_001_0003,Academic Decline,Medium,Academic Decline flagged for student Riya Bhattacharya - Class 11th C,2025-09-08 07:43:16,Active,MEN_INST_001_003,False,False,True,True,True,2025-09-24
ALT_INST_001_000004,STU_INST_001_0003,Behavioral Issues,Medium,Behavioral Issues flagged for student Riya Bhattacharya - Class 11th C,2025-09-06 07:43:16,Active,MEN_INST_001_003,False,True,True,True,False,
ALT_INST_001_000005,STU_INST_001_0004,Uniform Violations,Medium,Uniform Violations flagged for student Sara Deshpande - Class 12th E,2025-09-16 07:43:16,Acknowledged,MEN_INST_001_004,False,True,False,False,True,2025-09-21
ALT_INST_001_000006,STU_INST_001_0004,Academic Decline,Medium,Academic Decline flagged for student Sara Deshpande - Class 12th E,2025-09-15 07:43:16,Active,MEN_INST_001_004,False,False,False,True,True,
ALT_INST_001_000007,STU_INST_001_0005,Poor Academic Performance,Medium,Poor Academic Performance flagged for student Amit Das - Class 12th A,2025-09-01 07:43:16,Resolved,MEN_INST_001_005,False,True,False,False,True,
ALT_INST_001_000008,STU_INST_001_0005,Poor Academic Performance,Medium,Poor Academic Performance flagged for student Amit Das - Class 12th A,2025-09-15 07:43:16,In Progress,MEN_INST_001_005,False,False,False,False,False,2025-09-25
ALT_INST_001_000009,STU_INST_001_0006,Poor Academic Performance,Medium,Poor Academic Performance flagged for student Ishika Jain - Class 10th A,2025-08-31 07:43:16,Active,MEN_INST_001_006,False,True,True,False,True,2025-09-19
ALT_INST_001_000010,STU_INST_001_0008,Behavioral Issues,Medium,Behavioral Issues flagged for student Amit Vyas - Class 12th E,2025-09-06 07:43:16,In Progress,MEN_INST_001_008,False,False,False,False,True,2025-09-26
ALT_INST_001_000011,STU_INST_001_0008,Medical Attention Required,Medium,Medical Attention Required flagged for student Amit Vyas - Class 12th E,2025-09-02 07:43:16,Active,MEN_INST_001_008,False,False,True,False,True,2025-10-01
ALT_INST_001_000012,STU_INST_001_0008,Behavioral Issues,Medium,Behavioral Issues flagged for student Amit Vyas - Class 12th E,2025-08-21 07:43:16,Resolved,MEN_INST_001_008,False,False,False,True,False,2025-09-25
ALT_INST_001_000013,STU_INST_001_0009,Medical Attention Required,Low,Medical Attention Required flagged for student Manisha Sarkar - Class 10th B,2025-09-02 07:43:16,Resolved,MEN_INST_001_009,False,True,True,False,False,2025-09-26
ALT_INST_001_000014,STU_INST_001_0011,Uniform Violations,Medium,Uniform Violations flagged for student Suresh Pandey - Class 9th A,2025-08-27 07:43:16,Resolved,MEN_INST_001_011,False,False,False,True,True,2025-09-30
ALT_INST_001_000015,STU_INST_001_0011,Poor Academic Performance,Medium,Poor Academic Performance flagged for student Suresh Pandey - Class 9th A,2025-09-12 07:43:16,Resolved,MEN_INST_001_011,False,True,False,False,False,
ALT_INST_001_000016,STU_INST_001_0011,Academic Decline,Medium,Academic Decline flagged for student Suresh Pandey - Class 9th A,2025-08-19 07:43:16,Acknowledged,MEN_INST_001_011,False,True,True,True,True,
ALT_INST_001_000017,STU_INST_001_0012,Uniform Violations,Medium,Uniform Violations flagged for student Rahul Bansal - Class 9th A,2025-09-14 07:43:16,Active,MEN_INST_001_012,False,True,False,False,False,
ALT_INST_001_000018,STU_INST_001_0013,Uniform Violations,Low,Uniform Violations flagged for student Priya Verma - Class 9th E,2025-09-16 07:43:16,In Progress,MEN_INST_001_013,False,True,False,False,True,
ALT_INST_001_000019,STU_INST_001_0014,Homework Default,High,Homework Default flagged for student Rudra Jadhav - Class 12th C,2025-08-30 07:43:16,Resolved,MEN_INST_001_014,True,True,False,True,True,
ALT_INST_001_000020,STU_INST_001_0014,Behavioral Issues,High,Behavioral Issues flagged for student Rudra Jadhav - Class 12th C,2025-08-25 07:43:16,Resolved,MEN_INST_001_014,True,True,False,False,False,
ALT_INST_001_000021,STU_INST_001_0014,Parent Meeting Required,High,Parent Meeting Required flagged for student Rudra Jadhav - Class 12th C,2025-08-23 07:43:16,Acknowledged,MEN_INST_001_014,False,False,False,True,True,2025-09-19
ALT_INST_001_000022,STU_INST_001_0014,Counseling Needed,High,Counseling Needed flagged for student Rudra Jadhav - Class 12th C,2025-09-02 07:43:16,Resolved,MEN_INST_001_014,True,True,False,False,False,
ALT_INST_001_000023,STU_INST_001_0014,Low Attendance,High,Low Attendance flagged for student Rudra Jadhav - Class 12th C,2025-09-09 07:43:16,Acknowledged,MEN_INST_001_014,True,False,False,False,True,
ALT_INST_001_000024,STU_INST_001_0014,Behavioral Issues,High,Behavioral Issues flagged for student Rudra Jadhav - Class 12th C,2025-08-18 07:43:16,Active,MEN_INST_001_014,False,True,True,True,False,2025-09-29
ALT_INST_001_000025,STU_INST_001_0016,Low Attendance,Medium,Low Attendance flagged for student Pihu Agarwal - Class 9th C,2025-08-23 07:43:16,Acknowledged,MEN_INST_001_016,False,True,False,False,True,2025-09-30
ALT_INST_001_000026,STU_INST_001_0016,Medical Attention Required,Medium,Medical Attention Required flagged for student Pihu Agarwal - Class 9th C,2025-09-16 07:43:16,Acknowledged,MEN_INST_001_016,False,True,False,False,False,2025-09-18
ALT_INST_001_000027,STU_INST_001_0016,Parent Meeting Required,Medium,Parent Meeting Required flagged for student Pihu Agarwal - Class 9th C,2025-08-29 07:43:16,Active,MEN_INST_001_016,False,False,False,False,True,
ALT_INST_001_000028,STU_INST_001_0018,Chronic Absenteeism,Medium,Chronic Absenteeism flagged for student Ankit Jadhav - Class 10th D,2025-09-10 07:43:16,Acknowledged,MEN_INST_001_018,False,True,False,True,True,
ALT_INST_001_000029,STU_INST_001_0019,Counseling Needed,Medium,Counseling Needed flagged for student Vivaan Mandal - Class 12th B,2025-08-23 07:43:16,In Progress,MEN_INST_001_019,False,True,True,False,True,
ALT_INST_001_000030,STU_INST_001_0019,Uniform Violations,Medium,Uniform Violations flagged for student Vivaan Mandal - Class 12th B,2025-08-18 07:43:16,Active,MEN_INST_001_019,False,False,True,True,False,
ALT_INST_001_000031,STU_INST_001_0022,Uniform Violations,Medium,Uniform Violations flagged for student Khushi Bhatt - Class 9th B,2025-09-06 07:43:16,In Progress,MEN_INST_001_022,False,False,True,True,False,2025-09-28
ALT_INST_001_000032,STU_INST_001_0022,Counseling Needed,Medium,Counseling Needed flagged for student Khushi Bhatt - Class 9th B,2025-09-12 07:43:16,Active,MEN_INST_001_022,False,True,False,True,False,2025-09-29
ALT_INST_001_000033,STU_INST_001_0022,Chronic Absenteeism,Medium,Chronic Absenteeism flagged for student Khushi Bhatt - Class 9th B,2025-08-23 07:43:16,Resolved,MEN_INST_001_022,False,True,True,True,True,2025-09-30
ALT_INST_001_000034,STU_INST_001_0023,Medical Attention Required,Medium,Medical Attention Required flagged for student Reyansh Bhat - Class 9th C,2025-08-19 07:43:16,Acknowledged,MEN_INST_001_023,False,False,True,False,True,2025-09-29
ALT_INST_001_000035,STU_INST_001_0023,Homework Default,Medium,Homework Default flagged for student Reyansh Bhat - Class 9th C,2025-08-21 07:43:16,In Progress,MEN_INST_001_023,False,True,False,False,True,2025-09-22
ALT_INST_001_000036,STU_INST_001_0024,Fee Defaulter,Low,Fee Defaulter flagged for student Shriya Gupta - Class 10th A,2025-09-15 07:43:16,Acknowledged,MEN_INST_001_024,False,False,False,False,True,2025-09-18
ALT_INST_001_000037,STU_INST_001_0025,Poor Academic Performance,Medium,Poor Academic Performance flagged for student Veer Kamath - Class 9th C,2025-08-22 07:43:16,In Progress,MEN_INST_001_001,False,True,True,True,False,2025-09-17
ALT_INST_001_000038,STU_INST_001_0025,Chronic Absenteeism,Medium,Chronic Absenteeism flagged for student Veer Kamath - Class 9th C,2025-08-26 07:43:16,Active,MEN_INST_001_001,False,True,True,True,False,
ALT_INST_001_000039,STU_INST_001_0027,Fee Defaulter,Medium,Fee Defaulter flagged for student Avni Thakkar - Class 12th E,2025-09-12 07:43:16,Active,MEN_INST_001_003,False,False,True,False,False,2025-09-27
ALT_INST_001_000040,STU_INST_001_0027,Fee Defaulter,Medium,Fee Defaulter flagged for student Avni Thakkar - Class 12th E,2025-08-28 07:43:16,In Progress,MEN_INST_001_003,False,False,True,False,False,
ALT_INST_001_000041,STU_INST_001_0028,Homework Default,Medium,Homework Default flagged for student Vivaan Saxena - Class 11th E,2025-08-24 07:43:16,Active,MEN_INST_001_004,False,True,False,False,False,
ALT_INST_001_000042,STU_INST_001_0028,Academic Decline,Medium,Academic Decline flagged for student Vivaan Saxena - Class 11th E,2025-08-21 07:43:16,Resolved,MEN_INST_001_004,False,True,False,False,True,2025-09-28
ALT_INST_001_000043,STU_INST_001_0028,Uniform Violations,Medium,Uniform Violations flagged for student Vivaan Saxena - Class 11th E,2025-08-21 07:43:16,Acknowledged,MEN_INST_001_004,False,False,False,False,False,
ALT_INST_001_000044,STU_INST_001_0029,Poor Academic Performance,Medium,Poor Academic Performance flagged for student Myra Kapoor - Class 12th A,2025-09-13 07:43:16,Acknowledged,MEN_INST_001_005,False,True,False,True,True,
ALT_INST_001_000045,STU_INST_001_0029,Parent Meeting Required,Medium,Parent Meeting Required flagged for student Myra Kapoor - Class 12th A,2025-09-06 07:43:16,Acknowledged,MEN_INST_001_005,False,True,False,True,True,
ALT_INST_001_000046,STU_INST_001_0030,Fee Defaulter,Medium,Fee Defaulter flagged for student Meera Bhatia - Class 9th A,2025-09-14 07:43:16,Resolved,MEN_INST_001_006,False,False,True,False,True,
ALT_INST_001_000047,STU_INST_001_0030,Homework Default,Medium,Homework Default flagged for student Meera Bhatia - Class 9th A,2025-09-04 07:43:16,In Progress,MEN_INST_001_006,False,True,False,True,True,2025-09-24
ALT_INST_001_000048,STU_INST_001_0030,Medical Attention Required,Medium,Medical Attention Required flagged for student Meera Bhatia - Class 9th A,2025-09-01 07:43:16,Active,MEN_INST_001_006,False,False,False,False,False,2025-09-20
ALT_INST_001_000049,STU_INST_001_0031,Medical Attention Required,Medium,Medical Attention Required flagged for student Rajesh Chowdhury - Class 10th C,2025-08-31 07:43:16,In Progress,MEN_INST_001_007,False,False,False,False,False,
ALT_INST_001_000050,STU_INST_001_0031,Medical Attention Required,Medium,Medical Attention Required flagged for student Rajesh Chowdhury - Class 10th C,2025-09-14 07:43:16,In Progress,MEN_INST_001_007,False,True,False,False,False,2025-09-30
ALT_INST_001_000051,STU_INST_001_0031,Chronic Absenteeism,Medium,Chronic Absenteeism flagged for student Rajesh Chowdhury - Class 10th C,2025-09-02 07:43:16,Acknowledged,MEN_INST_001_007,False,True,True,False,False,2025-09-25
ALT_INST_001_000052,STU_INST_001_0032,Behavioral Issues,Medium,Behavioral Issues flagged for student Amit Jindal - Class 12th A,2025-09-09 07:43:16,Active,MEN_INST_001_008,False,True,True,False,False,
ALT_INST_001_000053,STU_INST_001_0032,Homework Default,Medium,Homework Default flagged for student Amit Jindal - Class 12th A,2025-08-17 07:43:16,Acknowledged,MEN_INST_001_008,False,False,False,False,True,
ALT_INST_001_000054,STU_INST_001_0033,Medical Attention Required,Medium,Medical Attention Required flagged for student Shivansh Srivastava - Class 10th B,2025-09-16 07:43:16,Resolved,MEN_INST_001_009,False,False,False,False,True,
ALT_INST_001_000055,STU_INST_001_0033,Chronic Absenteeism,Medium,Chronic Absenteeism flagged for student Shivansh Srivastava - Class 10th B,2025-08-20 07:43:16,In Progress,MEN_INST_001_009,False,True,False,True,False,2025-10-01
ALT_INST_001_000056,STU_INST_001_0033,Uniform Violations,Medium,Uniform Violations flagged for student Shivansh Srivastava - Class 10th B,2025-09-03 07:43:16,In Progress,MEN_INST_001_009,False,False,False,False,True,
ALT_INST_001_000057,STU_INST_001_0035,Chronic Absenteeism,Medium,Chronic Absenteeism flagged for student Varun Kulkarni - Class 11th B,2025-08-29 07:43:16,Resolved,MEN_INST_001_011,False,True,False,False,True,2025-09-19
ALT_INST_001_000058,STU_INST_001_0035,Academic Decline,Medium,Academic Decline flagged for student Varun Kulkarni - Class 11th B,2025-09-02 07:43:16,Acknowledged,MEN_INST_001_011,False,True,True,False,False,
ALT_INST_001_000059,STU_INST_001_0035,Academic Decline,Medium,Academic Decline flagged for student Varun Kulkarni - Class 11th B,2025-08-23 07:43:16,In Progress,MEN_INST_001_011,False,False,False,False,False,
ALT_INST_001_000060,STU_INST_001_0036,Counseling Needed,Low,Counseling Needed flagged for student Aarohi Mitra - Class 9th A,2025-09-09 07:43:16,Resolved,MEN_INST_001_012,False,False,True,False,True,
ALT_INST_001_000061,STU_INST_001_0037,Parent Meeting Required,Medium,Parent Meeting Required flagged for student Advik Biswas - Class 9th B,2025-09-03 07:43:16,In Progress,MEN_INST_001_013,False,False,True,True,True,
ALT_INST_001_000062,STU_INST_001_0037,Poor Academic Performance,Medium,Poor Academic Performance flagged for student Advik Biswas - Class 9th B,2025-09-07 07:43:16,Active,MEN_INST_001_013,False,True,True,False,False,2025-09-20
ALT_INST_001_000063,STU_INST_001_0038,Parent Meeting Required,Medium,Parent Meeting Required flagged for student Maya Trivedi - Class 11th E,2025-09-10 07:43:16,Acknowledged,MEN_INST_001_014,False,True,False,True,True,
ALT_INST_001_000064,STU_INST_001_0040,Homework Default,Medium,Homework Default flagged for student Diya Jadhav - Class 9th A,2025-08-31 07:43:16,In Progress,MEN_INST_001_016,False,False,True,True,False,
ALT_INST_001_000065,STU_INST_001_0041,Counseling Needed,Medium,Counseling Needed flagged for student Shivansh Bhattacharya - Class 11th E,2025-09-15 07:43:16,Resolved,MEN_INST_001_017,False,True,True,True,False,2025-09-24
ALT_INST_001_000066,STU_INST_001_0042,Poor Academic Performance,Medium,Poor Academic Performance flagged for student Veer Mittal - Class 12th B,2025-08-30 07:43:16,Active,MEN_INST_001_018,False,True,False,False,False,
ALT_INST_001_000067,STU_INST_001_0042,Counseling Needed,Medium,Counseling Needed flagged for student Veer Mittal - Class 12th B,2025-08-17 07:43:16,Acknowledged,MEN_INST_001_018,False,True,False,False,False,2025-09-23
