parent_id,institute_id,father_name,mother_name,primary_contact,email,phone_primary,phone_secondary,address,occupation_father,occupation_mother,income_bracket,children_count,religion,caste_category
PAR_INST_001_0001,INST_001,Rajesh Iyer,Shreya Iyer,Rajesh Iyer,rajeshiyer@rediffmail.com,+91-8841458685,+91-9814294019,"Villa No. 354, Enclave 28, Chennai",Bank Manager,Software Developer,< 2 LPA,1,Sikh,OBC
PAR_INST_001_0002,INST_001,Aryan Agarwal,Riya Agarwal,Aryan Agarwal,aryan2@hotmail.com,+91-9256159514,+91-8246564823,"Villa No. 681, Extension 44, Chennai",Police Officer,Nurse,15-25 LPA,1,Buddhist,SC
PAR_INST_001_0003,INST_001,Ankit Bhattacharya,Aadhya Bhattacharya,Ankit Bhattacharya,ankitbhattacharya@rediffmail.com,+91-8095777387,+91-9314895134,"Flat No. 826, Nagar 10, Chennai",Engineer,Homemaker,2-5 LPA,1,Sikh,General
PAR_INST_001_0004,INST_001,Anil Deshpande,Kriti Deshpande,Anil Deshpande,adeshpande@rediffmail.com,+91-8632016328,+91-8408317278,"Plot No. 973, Market 40, Chennai",Software Developer,Professor,15-25 LPA,1,Sikh,ST
PAR_INST_001_0005,INST_001,Shaurya Das,Shalini Das,Shaurya Das,shauryadas@yahoo.co.in,+91-9087347143,+91-9055812236,"Flat No. 724, Nagar 5, Chennai",Shopkeeper,Businesswoman,5-10 LPA,1,Buddhist,ST
PAR_INST_001_0006,INST_001,Ashish Jain,Meera Jain,Ashish Jain,ashish399@yahoo.co.in,+91-9896705466,+91-8189373467,"House No. 399, Enclave 43, Chennai",IAS Officer,Consultant,10-15 LPA,1,Jain,OBC
PAR_INST_001_0007,INST_001,Anil Goel,Tanya Goel,Anil Goel,agoel@hotmail.com,+91-8001627204,+91-8653755646,"Plot No. 855, Block 31, Chennai",Engineer,Professor,15-25 LPA,1,Hindu,SC
PAR_INST_001_0008,INST_001,Riyansh Vyas,Diya Vyas,Riyansh Vyas,riyansh.vyas@yahoo.com,+91-9209232719,+91-9274529912,"Plot No. 111, Sector 20, Chennai",Bank Manager,Principal,10-15 LPA,1,Sikh,OBC
PAR_INST_001_0009,INST_001,Arjun Sarkar,Sara Sarkar,Arjun Sarkar,arjun.sarkar@yahoo.co.in,+91-8991905865,+91-9685067165,"Villa No. 725, Colony 28, Chennai",Teacher,Professor,15-25 LPA,1,Jain,SC
PAR_INST_001_0010,INST_001,Varun Saha,Pihu Saha,Varun Saha,vsaha@yahoo.co.in,+91-8045314737,+91-8096507527,"Flat No. 364, Vihar 22, Chennai",Government Employee,Bank Employee,25+ LPA,1,Christian,General
PAR_INST_001_0011,INST_001,Manoj Pandey,Priya Pandey,Manoj Pandey,mpandey@rediffmail.com,+91-8137770143,+91-8634957885,"Villa No. 764, Enclave 23, Chennai",Police Officer,Lawyer,5-10 LPA,1,Christian,SC
PAR_INST_001_0012,INST_001,Riyansh Bansal,Navya Bansal,Riyansh Bansal,riyansh.bansal@yahoo.co.in,+91-8123374989,+91-8913435240,"Flat No. 281, Sector 4, Chennai",Accountant,Doctor,25+ LPA,1,Muslim,ST
PAR_INST_001_0013,INST_001,Reyansh Verma,Maya Verma,Reyansh Verma,rverma@rediffmail.com,+91-8820471167,+91-9690229413,"House No. 572, Extension 39, Chennai",Bank Manager,Consultant,15-25 LPA,1,Muslim,ST
PAR_INST_001_0014,INST_001,Abhishek Jadhav,Sapna Jadhav,Abhishek Jadhav,abhishek_jadhav@hotmail.com,+91-7909133412,+91-9128120679,"Villa No. 299, Sector 15, Chennai",Government Employee,Professor,5-10 LPA,1,Jain,ST
PAR_INST_001_0015,INST_001,Arjun Bhatt,Shreya Bhatt,Arjun Bhatt,arjun807@yahoo.co.in,+91-9261832421,+91-9724994717,"Plot No. 717, Extension 18, Chennai",Accountant,Software Developer,10-15 LPA,1,Sikh,General
PAR_INST_001_0016,INST_001,Yash Agarwal,Anjali Agarwal,Yash Agarwal,yash_agarwal@gmail.com,+91-9639904902,+91-8387429671,"Villa No. 357, Extension 22, Chennai",Farmer,Principal,< 2 LPA,1,Muslim,SC
PAR_INST_001_0017,INST_001,Ashish Panchal,Priyanka Panchal,Ashish Panchal,apanchal@hotmail.com,+91-9771545168,+91-9887603859,"Villa No. 641, Market 49, Chennai",Engineer,Engineer,5-10 LPA,1,Buddhist,OBC
PAR_INST_001_0018,INST_001,Rahul Jadhav,Sara Jadhav,Rahul Jadhav,rahul.jadhav@yahoo.co.in,+91-7932480861,+91-9117127484,"Villa No. 855, Market 31, Chennai",Businessman,Lawyer,15-25 LPA,1,Muslim,ST
PAR_INST_001_0019,INST_001,Advik Mandal,Shriya Mandal,Advik Mandal,advik.mandal@outlook.com,+91-8558404499,+91-8327875588,"Villa No. 467, Enclave 13, Chennai",Police Officer,Engineer,15-25 LPA,1,Sikh,OBC
PAR_INST_001_0020,INST_001,Laksh Joshi,Kavya Joshi,Laksh Joshi,ljoshi@yahoo.co.in,+91-8662702895,+91-9571870262,"House No. 481, Vihar 22, Chennai",Bank Manager,Professor,10-15 LPA,1,Jain,General
PAR_INST_001_0021,INST_001,Deepak Parikh,Tanvi Parikh,Deepak Parikh,deepak_parikh@yahoo.co.in,+91-8380913431,+91-8511724005,"House No. 301, Enclave 24, Chennai",Shopkeeper,Nurse,2-5 LPA,1,Buddhist,ST
PAR_INST_001_0022,INST_001,Harsh Bhatt,Riya Bhatt,Harsh Bhatt,harsh.bhatt@hotmail.com,+91-8693792374,+91-8440748217,"Plot No. 602, Vihar 41, Chennai",Shopkeeper,Professor,5-10 LPA,1,Sikh,SC
PAR_INST_001_0023,INST_001,Advik Bhat,Deepika Bhat,Advik Bhat,abhat@hotmail.com,+91-8794406409,+91-9797439533,"Plot No. 695, Colony 41, Chennai",Doctor,Principal,25+ LPA,1,Hindu,SC
PAR_INST_001_0024,INST_001,Abhishek Gupta,Isha Gupta,Abhishek Gupta,abhishekgupta@gmail.com,+91-8956232858,+91-8242474517,"House No. 145, Nagar 44, Chennai",Police Officer,Principal,10-15 LPA,1,Buddhist,SC
PAR_INST_001_0025,INST_001,Sai Kamath,Aadhya Kamath,Sai Kamath,sai.kamath@rediffmail.com,+91-8749651370,+91-7985931746,"House No. 144, Sector 3, Chennai",Government Employee,Lawyer,< 2 LPA,1,Hindu,OBC
PAR_INST_001_0026,INST_001,Vinod Mittal,Swati Mittal,Vinod Mittal,vinod380@rediffmail.com,+91-8026179640,+91-8737735158,"Plot No. 63, Extension 18, Chennai",Businessman,Teacher,10-15 LPA,1,Hindu,OBC
PAR_INST_001_0027,INST_001,Arnav Thakkar,Avni Thakkar,Arnav Thakkar,arnav_thakkar@yahoo.com,+91-9493183933,+91-8829042284,"Flat No. 113, Sector 9, Chennai",Engineer,Government Employee,2-5 LPA,1,Buddhist,SC
PAR_INST_001_0028,INST_001,Vivaan Saxena,Sunita Saxena,Vivaan Saxena,vsaxena@hotmail.com,+91-9517758917,+91-8239084700,"Villa No. 868, Extension 28, Chennai",IAS Officer,Teacher,10-15 LPA,1,Jain,ST
PAR_INST_001_0029,INST_001,Arjun Kapoor,Neha Kapoor,Arjun Kapoor,arjun.kapoor@yahoo.com,+91-9099856984,+91-8489611836,"Villa No. 910, Nagar 27, Chennai",Farmer,Designer,10-15 LPA,1,Sikh,ST
PAR_INST_001_0030,INST_001,Advait Bhatia,Neha Bhatia,Advait Bhatia,advait_bhatia@outlook.com,+91-9471111615,+91-9480988516,"Plot No. 895, Extension 47, Chennai",Engineer,Doctor,15-25 LPA,1,Christian,SC
PAR_INST_001_0031,INST_001,Reyansh Chowdhury,Shriya Chowdhury,Reyansh Chowdhury,rchowdhury@yahoo.com,+91-9558514936,+91-8199809402,"Plot No. 720, Vihar 22, Chennai",Farmer,Homemaker,2-5 LPA,1,Muslim,ST
PAR_INST_001_0032,INST_001,Arjun Jindal,Zara Jindal,Arjun Jindal,arjun.jindal@gmail.com,+91-8236675254,+91-8899102290,"House No. 279, Market 43, Chennai",Shopkeeper,Lawyer,15-25 LPA,1,Sikh,ST
PAR_INST_001_0033,INST_001,Karan Srivastava,Ira Srivastava,Karan Srivastava,karan_srivastava@rediffmail.com,+91-9549784036,+91-7900343244,"Plot No. 123, Sector 32, Chennai",Police Officer,Businesswoman,2-5 LPA,1,Muslim,ST
PAR_INST_001_0034,INST_001,Vinod Khanna,Shriya Khanna,Vinod Khanna,vinod_khanna@gmail.com,+91-8606071596,+91-8066416052,"Villa No. 852, Enclave 6, Chennai",Shopkeeper,Designer,< 2 LPA,1,Muslim,ST
PAR_INST_001_0035,INST_001,Dev Kulkarni,Aditi Kulkarni,Dev Kulkarni,dev_kulkarni@yahoo.co.in,+91-8835218188,+91-9255231243,"Flat No. 617, Colony 49, Chennai",Contractor,Principal,< 2 LPA,1,Muslim,ST
PAR_INST_001_0036,INST_001,Anil Mitra,Ira Mitra,Anil Mitra,anil460@yahoo.co.in,+91-7955271774,+91-9090581477,"House No. 59, Enclave 19, Chennai",Doctor,Principal,< 2 LPA,1,Buddhist,ST
PAR_INST_001_0037,INST_001,Anil Biswas,Sana Biswas,Anil Biswas,anil461@yahoo.co.in,+91-9259782071,+91-8818203778,"Flat No. 373, Enclave 19, Chennai",Shopkeeper,Businesswoman,5-10 LPA,1,Jain,General
PAR_INST_001_0038,INST_001,Arjit Trivedi,Seema Trivedi,Arjit Trivedi,arjit.trivedi@hotmail.com,+91-8644925192,+91-8746291486,"Plot No. 833, Colony 43, Chennai",Police Officer,Designer,25+ LPA,1,Jain,General
PAR_INST_001_0039,INST_001,Arnav Shukla,Anjali Shukla,Arnav Shukla,arnav.shukla@outlook.com,+91-8923573322,+91-9641888059,"Flat No. 612, Extension 10, Chennai",Teacher,Nurse,25+ LPA,1,Buddhist,OBC
PAR_INST_001_0040,INST_001,Advait Jadhav,Kavya Jadhav,Advait Jadhav,advaitjadhav@rediffmail.com,+91-7947383473,+91-8797746886,"Flat No. 837, Nagar 39, Chennai",Teacher,Designer,5-10 LPA,1,Hindu,ST
PAR_INST_001_0041,INST_001,Vikram Bhattacharya,Saanvi Bhattacharya,Vikram Bhattacharya,vikram.bhattacharya@outlook.com,+91-9624782613,+91-8450606853,"Villa No. 84, Enclave 15, Chennai",Engineer,Government Employee,< 2 LPA,1,Jain,SC
PAR_INST_001_0042,INST_001,Ishaan Mittal,Kavya Mittal,Ishaan Mittal,imittal@yahoo.co.in,+91-9477901043,+91-9489861434,"House No. 49, Nagar 27, Chennai",IAS Officer,Consultant,15-25 LPA,1,Sikh,General
PAR_INST_001_0043,INST_001,Ayaan Chakraborty,Avni Chakraborty,Ayaan Chakraborty,ayaan17@hotmail.com,+91-9124609539,+91-8521851888,"House No. 400, Market 3, Chennai",IAS Officer,Businesswoman,5-10 LPA,1,Christian,General
PAR_INST_001_0044,INST_001,Rajesh Arora,Rashmi Arora,Rajesh Arora,rajesh.arora@hotmail.com,+91-8820585277,+91-9321704303,"House No. 324, Vihar 33, Chennai",Shopkeeper,Designer,15-25 LPA,1,Sikh,SC
PAR_INST_001_0045,INST_001,Aditya Trivedi,Pooja Trivedi,Aditya Trivedi,aditya.trivedi@yahoo.co.in,+91-8841566765,+91-9377584161,"Villa No. 617, Colony 35, Chennai",Government Employee,Government Employee,< 2 LPA,1,Hindu,SC
PAR_INST_001_0046,INST_001,Dhruv Nair,Sapna Nair,Dhruv Nair,dnair@yahoo.com,+91-8457059640,+91-9665820297,"House No. 130, Block 16, Chennai",Contractor,Principal,5-10 LPA,1,Christian,ST
PAR_INST_001_0047,INST_001,Harsh Gupta,Avni Gupta,Harsh Gupta,hgupta@outlook.com,+91-8771928565,+91-9031027868,"House No. 269, Vihar 46, Chennai",Lawyer,Engineer,15-25 LPA,1,Christian,ST
PAR_INST_001_0048,INST_001,Advik Bansal,Khushi Bansal,Advik Bansal,advikbansal@yahoo.co.in,+91-8415518844,+91-9325831323,"Villa No. 27, Enclave 36, Chennai",Bank Manager,Government Employee,10-15 LPA,1,Buddhist,OBC
PAR_INST_001_0049,INST_001,Varun Chopra,Diya Chopra,Varun Chopra,vchopra@hotmail.com,+91-8569125177,+91-8252892268,"House No. 852, Block 34, Chennai",Teacher,Doctor,2-5 LPA,1,Muslim,SC
PAR_INST_001_0050,INST_001,Om Mathur,Rashmi Mathur,Om Mathur,om_mathur@gmail.com,+91-9038424981,+91-8229922995,"House No. 846, Sector 6, Chennai",Engineer,Principal,15-25 LPA,1,Christian,OBC
PAR_INST_001_0051,INST_001,Laksh Chowdhury,Shweta Chowdhury,Laksh Chowdhury,laksh.chowdhury@rediffmail.com,+91-8144736471,+91-9727677359,"Flat No. 321, Enclave 47, Chennai",Software Developer,Government Employee,10-15 LPA,1,Muslim,SC
PAR_INST_001_0052,INST_001,Sanjay Ganguly,Saanvi Ganguly,Sanjay Ganguly,sganguly@gmail.com,+91-9073210469,+91-8532595327,"Villa No. 511, Vihar 32, Chennai",Engineer,Teacher,10-15 LPA,1,Buddhist,ST
PAR_INST_001_0053,INST_001,Rohan Srivastava,Isha Srivastava,Rohan Srivastava,rohan.srivastava@outlook.com,+91-8397480162,+91-9056506098,"Flat No. 372, Vihar 5, Chennai",Shopkeeper,Software Developer,10-15 LPA,1,Buddhist,SC
PAR_INST_001_0054,INST_001,Varun Bhatt,Tanya Bhatt,Varun Bhatt,varun.bhatt@rediffmail.com,+91-8758523986,+91-8200025787,"Flat No. 621, Colony 21, Chennai",Consultant,Bank Employee,5-10 LPA,1,Muslim,ST
PAR_INST_001_0055,INST_001,Varun Menon,Isha Menon,Varun Menon,varun520@hotmail.com,+91-8394705516,+91-8040974993,"House No. 598, Market 11, Chennai",Accountant,Principal,25+ LPA,1,Buddhist,ST
PAR_INST_001_0056,INST_001,Ishaan Bhatt,Preeti Bhatt,Ishaan Bhatt,ishaan.bhatt@yahoo.com,+91-9875626368,+91-7970283857,"Villa No. 322, Colony 30, Chennai",Consultant,Software Developer,5-10 LPA,1,Buddhist,SC
PAR_INST_001_0057,INST_001,Shivansh Bhatt,Arya Bhatt,Shivansh Bhatt,shivansh271@rediffmail.com,+91-9234843443,+91-8357584419,"Villa No. 918, Extension 23, Chennai",Contractor,Consultant,2-5 LPA,1,Christian,General
PAR_INST_001_0058,INST_001,Rahul Kapoor,Rashmi Kapoor,Rahul Kapoor,rahul_kapoor@yahoo.co.in,+91-8333848421,+91-7993308330,"House No. 424, Enclave 46, Chennai",Lawyer,Teacher,25+ LPA,1,Muslim,General
PAR_INST_001_0059,INST_001,Yogesh Goyal,Shweta Goyal,Yogesh Goyal,ygoyal@rediffmail.com,+91-9245401938,+91-9726206724,"House No. 10, Vihar 37, Chennai",Bank Manager,Teacher,5-10 LPA,1,Christian,ST
PAR_INST_001_0060,INST_001,Arnav Dutta,Aditi Dutta,Arnav Dutta,arnavdutta@hotmail.com,+91-8443152742,+91-9854932966,"Plot No. 89, Extension 43, Chennai",Doctor,Nurse,2-5 LPA,1,Sikh,SC
PAR_INST_001_0061,INST_001,Rohan Sharma,Sunita Sharma,Rohan Sharma,rsharma@outlook.com,+91-8849904530,+91-9574268414,"Plot No. 630, Nagar 15, Chennai",Teacher,Lawyer,2-5 LPA,1,Sikh,SC
PAR_INST_001_0062,INST_001,Ashish Suthar,Sana Suthar,Ashish Suthar,ashish776@yahoo.co.in,+91-9239187851,+91-8010883982,"Flat No. 336, Market 8, Chennai",IAS Officer,Engineer,25+ LPA,1,Buddhist,ST
PAR_INST_001_0063,INST_001,Sai Sen,Shalini Sen,Sai Sen,saisen@hotmail.com,+91-8579087406,+91-9003910651,"House No. 958, Block 31, Chennai",Engineer,Doctor,10-15 LPA,1,Muslim,OBC
PAR_INST_001_0064,INST_001,Laksh Trivedi,Navya Trivedi,Laksh Trivedi,ltrivedi@outlook.com,+91-8676618251,+91-9386823004,"Villa No. 690, Extension 35, Chennai",Shopkeeper,Designer,2-5 LPA,1,Muslim,ST
PAR_INST_001_0065,INST_001,Rajesh Singhal,Kavita Singhal,Rajesh Singhal,rajesh.singhal@gmail.com,+91-8590331190,+91-8490306738,"Flat No. 773, Sector 9, Chennai",Accountant,Doctor,2-5 LPA,1,Jain,SC
