student_id,institute_id,parent_id,mentor_id,name,gender,grade,section,roll_number,date_of_birth,admission_date,academic_year,attendance_percentage,current_gpa,behavioral_incidents,risk_level,last_assessment_score,fees_paid,transport_mode,medium_of_instruction,special_needs
STU_INST_001_0001,INST_001,PAR_INST_001_0001,MEN_INST_001_001,Arjun Iyer,Male,12th,D,108312,2011-05-16,2024-11-11,2025-26,89.5,2.72,2,Medium,89,Yes,Auto Rickshaw,Regional Language,None
STU_INST_001_0002,INST_001,PAR_INST_001_0002,MEN_INST_001_002,Manoj Agarwal,Male,9th,C,105447,2008-01-25,2023-10-23,2025-26,86.2,3.41,1,Low,84,No,Private Vehicle,English,None
STU_INST_001_0003,INST_001,PAR_INST_001_0003,MEN_INST_001_003,Riya Bhattacharya,Female,11th,C,113896,2010-02-23,2025-06-16,2025-26,73.3,2.48,0,Medium,44,Partial,Walking,Regional Language,None
STU_INST_001_0004,INST_001,PAR_INST_001_0004,MEN_INST_001_004,Sara Deshpande,Female,12th,E,9t9836,2007-09-23,2024-05-12,2025-26,85.6,1.65,1,Medium,60,Yes,Walking,Regional Language,None
STU_INST_001_0005,INST_001,PAR_INST_001_0005,MEN_INST_001_005,Amit Das,Male,12th,A,9t6751,2009-03-22,2024-02-01,2025-26,66.8,2.99,0,Medium,64,Yes,Bicycle,Regional Language,None
STU_INST_001_0006,INST_001,PAR_INST_001_0006,MEN_INST_001_006,Ishika Jain,Female,10th,A,124468,2009-08-07,2024-04-19,2025-26,71.4,1.52,1,Medium,89,Yes,Private Vehicle,Regional Language,None
STU_INST_001_0007,INST_001,PAR_INST_001_0007,MEN_INST_001_007,Pooja Goel,Female,11th,A,102235,2008-07-12,2025-04-19,2025-26,100.0,3.04,0,Low,60,No,Bicycle,Regional Language,None
STU_INST_001_0008,INST_001,PAR_INST_001_0008,MEN_INST_001_008,Amit Vyas,Male,12th,E,128857,2009-07-07,2025-02-22,2025-26,64.7,3.03,0,Medium,94,Partial,School Bus,Regional Language,None
STU_INST_001_0009,INST_001,PAR_INST_001_0009,MEN_INST_001_009,Manisha Sarkar,Female,10th,B,119095,2009-06-13,2023-10-20,2025-26,73.0,3.37,0,Low,91,Partial,Bicycle,Hindi,ADHD
STU_INST_001_0010,INST_001,PAR_INST_001_0010,MEN_INST_001_010,Ankit Saha,Male,9th,C,118541,2008-04-20,2025-03-26,2025-26,73.0,3.91,0,Low,56,No,Auto Rickshaw,Hindi,None
STU_INST_001_0011,INST_001,PAR_INST_001_0011,MEN_INST_001_011,Suresh Pandey,Male,9th,A,105790,2011-04-30,2025-01-01,2025-26,74.0,2.8,1,Medium,84,No,Private Vehicle,Hindi,None
STU_INST_001_0012,INST_001,PAR_INST_001_0012,MEN_INST_001_012,Rahul Bansal,Male,9th,A,116156,2008-10-25,2025-02-08,2025-26,63.0,3.46,1,Medium,89,Yes,School Bus,Regional Language,None
STU_INST_001_0013,INST_001,PAR_INST_001_0013,MEN_INST_001_013,Priya Verma,Female,9th,E,9t8389,2011-07-29,2024-05-29,2025-26,85.3,3.33,1,Low,64,No,Bicycle,Regional Language,None
STU_INST_001_0014,INST_001,PAR_INST_001_0014,MEN_INST_001_014,Rudra Jadhav,Male,12th,C,114995,2008-08-13,2025-01-28,2025-26,66.9,1.85,0,High,47,No,Walking,English,None
STU_INST_001_0015,INST_001,PAR_INST_001_0015,MEN_INST_001_015,Riyansh Bhatt,Male,10th,B,102451,2011-07-15,2025-05-07,2025-26,75.1,3.43,0,Low,45,No,Walking,Regional Language,None
STU_INST_001_0016,INST_001,PAR_INST_001_0016,MEN_INST_001_016,Pihu Agarwal,Female,9th,C,118357,2009-01-28,2025-07-05,2025-26,65.0,2.88,1,Medium,49,Yes,Bicycle,English,None
STU_INST_001_0017,INST_001,PAR_INST_001_0017,MEN_INST_001_017,Vikram Panchal,Male,10th,B,9t2098,2010-03-25,2025-01-08,2025-26,90.7,3.33,2,Low,56,No,Walking,Hindi,None
STU_INST_001_0018,INST_001,PAR_INST_001_0018,MEN_INST_001_018,Ankit Jadhav,Male,10th,D,124855,2009-05-15,2023-11-09,2025-26,69.4,2.61,2,Medium,89,No,Walking,Regional Language,None
STU_INST_001_0019,INST_001,PAR_INST_001_0019,MEN_INST_001_019,Vivaan Mandal,Male,12th,B,107759,2009-03-16,2025-02-01,2025-26,79.3,2.55,1,Medium,71,Yes,School Bus,Hindi,None
STU_INST_001_0020,INST_001,PAR_INST_001_0020,MEN_INST_001_020,Karan Joshi,Male,11th,B,102252,2011-03-21,2023-11-28,2025-26,94.5,2.98,1,Low,88,Yes,Walking,Hindi,None
STU_INST_001_0021,INST_001,PAR_INST_001_0021,MEN_INST_001_021,Arnav Parikh,Male,11th,A,128919,2008-09-07,2025-02-25,2025-26,96.6,3.28,2,Low,38,Partial,Auto Rickshaw,Regional Language,None
STU_INST_001_0022,INST_001,PAR_INST_001_0022,MEN_INST_001_022,Khushi Bhatt,Female,9th,B,9t4532,2008-11-07,2025-03-16,2025-26,42.7,3.29,0,Medium,81,Partial,Auto Rickshaw,Regional Language,None
STU_INST_001_0023,INST_001,PAR_INST_001_0023,MEN_INST_001_023,Reyansh Bhat,Male,9th,C,115884,2008-12-21,2024-06-07,2025-26,60.7,3.43,2,Medium,40,No,Auto Rickshaw,English,None
STU_INST_001_0024,INST_001,PAR_INST_001_0024,MEN_INST_001_024,Shriya Gupta,Female,10th,A,111505,2011-09-08,2024-09-17,2025-26,100.0,2.49,0,Low,78,Partial,Walking,Hindi,None
STU_INST_001_0025,INST_001,PAR_INST_001_0025,MEN_INST_001_001,Veer Kamath,Male,9th,C,104937,2009-05-21,2025-08-17,2025-26,78.8,2.54,0,Medium,93,No,Bicycle,Hindi,None
STU_INST_001_0026,INST_001,PAR_INST_001_0026,MEN_INST_001_002,Kabir Mittal,Male,9th,C,116446,2008-03-31,2023-11-10,2025-26,95.7,3.0,1,Low,82,Partial,Auto Rickshaw,English,None
STU_INST_001_0027,INST_001,PAR_INST_001_0027,MEN_INST_001_003,Avni Thakkar,Female,12th,E,9t2089,2010-05-27,2024-07-25,2025-26,83.5,3.38,2,Medium,53,Yes,Bicycle,Regional Language,None
STU_INST_001_0028,INST_001,PAR_INST_001_0028,MEN_INST_001_004,Vivaan Saxena,Male,11th,E,107520,2011-07-31,2024-01-12,2025-26,78.2,2.58,2,Medium,36,Yes,Bicycle,Regional Language,None
STU_INST_001_0029,INST_001,PAR_INST_001_0029,MEN_INST_001_005,Myra Kapoor,Female,12th,A,125784,2010-07-17,2023-12-03,2025-26,82.1,2.66,1,Medium,54,No,Private Vehicle,Regional Language,None
STU_INST_001_0030,INST_001,PAR_INST_001_0030,MEN_INST_001_006,Meera Bhatia,Female,9th,A,121547,2011-01-25,2024-08-02,2025-26,76.9,2.32,2,Medium,47,No,Private Vehicle,Regional Language,None
STU_INST_001_0031,INST_001,PAR_INST_001_0031,MEN_INST_001_007,Rajesh Chowdhury,Male,10th,C,123831,2009-12-28,2023-09-24,2025-26,67.9,3.64,2,Medium,70,Partial,Auto Rickshaw,Regional Language,None
STU_INST_001_0032,INST_001,PAR_INST_001_0032,MEN_INST_001_008,Amit Jindal,Male,12th,A,117747,2010-03-04,2024-01-31,2025-26,53.2,2.78,0,Medium,91,Partial,Walking,Hindi,None
STU_INST_001_0033,INST_001,PAR_INST_001_0033,MEN_INST_001_009,Shivansh Srivastava,Male,10th,B,111518,2009-11-08,2023-11-03,2025-26,83.5,2.54,1,Medium,92,No,Walking,English,None
STU_INST_001_0034,INST_001,PAR_INST_001_0034,MEN_INST_001_010,Vikram Khanna,Male,9th,A,109407,2008-02-10,2024-01-02,2025-26,89.2,2.64,0,Low,39,Partial,Bicycle,Hindi,None
STU_INST_001_0035,INST_001,PAR_INST_001_0035,MEN_INST_001_011,Varun Kulkarni,Male,11th,B,9t9313,2009-11-09,2023-09-25,2025-26,81.5,2.1,1,Medium,67,No,Auto Rickshaw,Regional Language,Learning Disability
STU_INST_001_0036,INST_001,PAR_INST_001_0036,MEN_INST_001_012,Aarohi Mitra,Female,9th,A,106351,2008-09-10,2023-11-07,2025-26,99.1,3.25,0,Low,55,No,Auto Rickshaw,English,None
STU_INST_001_0037,INST_001,PAR_INST_001_0037,MEN_INST_001_013,Advik Biswas,Male,9th,B,128725,2010-07-25,2025-05-25,2025-26,70.0,3.63,2,Medium,44,Yes,Walking,Regional Language,None
STU_INST_001_0038,INST_001,PAR_INST_001_0038,MEN_INST_001_014,Maya Trivedi,Female,11th,E,114363,2007-11-03,2025-06-15,2025-26,67.1,2.46,0,Medium,64,No,Auto Rickshaw,Hindi,None
STU_INST_001_0039,INST_001,PAR_INST_001_0039,MEN_INST_001_015,Advik Shukla,Male,9th,E,112927,2010-03-09,2025-08-03,2025-26,100.0,3.32,0,Low,55,Yes,School Bus,Regional Language,None
STU_INST_001_0040,INST_001,PAR_INST_001_0040,MEN_INST_001_016,Diya Jadhav,Female,9th,A,9t5525,2008-10-31,2024-08-16,2025-26,58.7,2.84,1,Medium,54,Partial,School Bus,Regional Language,None
STU_INST_001_0041,INST_001,PAR_INST_001_0041,MEN_INST_001_017,Shivansh Bhattacharya,Male,11th,E,9t1138,2008-06-14,2024-10-30,2025-26,68.2,3.73,1,Medium,78,No,Private Vehicle,Hindi,None
