activity_id,student_id,activity_name,participation_level,start_date,performance_rating,achievements,attendance_percentage,instructor
ACT_INST_002_000001,STU_INST_002_0002,Environmental Club,Beginner,2025-07-20,Good,State Level Qualifier,90,Myra Menon
ACT_INST_002_000002,STU_INST_002_0002,Football,Advanced,2025-05-01,Average,,70,Seema Jindal
ACT_INST_002_000003,STU_INST_002_0002,Art & Craft,Intermediate,2024-12-26,Good,,99,Maya Bhatt
ACT_INST_002_000004,STU_INST_002_0004,Drama,Intermediate,2024-10-04,Good,,84,Shweta Mishra
ACT_INST_002_000005,STU_INST_002_0007,Debate,Beginner,2025-01-23,Excellent,District Level Participant,70,Amit Mukherjee
ACT_INST_002_000006,STU_INST_002_0010,Table Tennis,Beginner,2025-08-11,Excellent,,74,Shivansh Shetty
ACT_INST_002_000007,STU_INST_002_0010,Music,Advanced,2024-12-03,Excellent,State Level Qualifier,90,Laksh Bansal
ACT_INST_002_000008,STU_INST_002_0010,Football,Beginner,2025-03-09,Good,,85,Laksh Bhattacharya
ACT_INST_002_000009,STU_INST_002_0011,Karate,Intermediate,2025-07-24,Excellent,,77,Tanya Shinde
ACT_INST_002_000010,STU_INST_002_0011,Football,Beginner,2025-06-07,Excellent,Certificate of Participation,90,Aadhya Khanna
ACT_INST_002_000011,STU_INST_002_0011,Badminton,Intermediate,2025-01-15,Excellent,,87,Shalini Arora
ACT_INST_002_000012,STU_INST_002_0012,Music,Intermediate,2025-06-25,Average,,72,Nidhi Biswas
ACT_INST_002_000013,STU_INST_002_0012,Dance,Intermediate,2025-05-05,Needs Improvement,District Level Participant,94,Tanvi Bhattacharya
ACT_INST_002_000014,STU_INST_002_0013,Debate,Intermediate,2024-11-22,Very Good,,84,Arya Banerjee
ACT_INST_002_000015,STU_INST_002_0013,Basketball,Intermediate,2025-04-20,Needs Improvement,School Level Winner,81,Samar Kale
ACT_INST_002_000016,STU_INST_002_0013,Drama,Intermediate,2025-06-06,Very Good,,84,Aarohi Kumar
ACT_INST_002_000017,STU_INST_002_0015,Athletics,Advanced,2024-12-10,Excellent,,71,Raj Sen
ACT_INST_002_000018,STU_INST_002_0015,Quiz,Intermediate,2025-07-14,Average,,99,Anil Desai
ACT_INST_002_000019,STU_INST_002_0016,Cricket,Beginner,2025-05-06,Very Good,,90,Isha Pal
ACT_INST_002_000020,STU_INST_002_0018,Debate,Intermediate,2024-11-12,Needs Improvement,,76,Navya Das
ACT_INST_002_000021,STU_INST_002_0018,Drama,Beginner,2025-02-09,Needs Improvement,,80,Akash Modi
ACT_INST_002_000022,STU_INST_002_0020,Cricket,Intermediate,2025-03-24,Very Good,,100,Sapna Shetty
ACT_INST_002_000023,STU_INST_002_0020,Badminton,Advanced,2025-07-22,Needs Improvement,,99,Isha Modi
ACT_INST_002_000024,STU_INST_002_0020,Table Tennis,Advanced,2025-02-28,Excellent,,96,Aarohi Iyer
ACT_INST_002_000025,STU_INST_002_0022,Cricket,Intermediate,2025-05-01,Excellent,,81,Vinod Bhat
ACT_INST_002_000026,STU_INST_002_0022,Cricket,Advanced,2024-10-18,Good,,87,Laksh Bhardwaj
ACT_INST_002_000027,STU_INST_002_0025,Quiz,Intermediate,2024-10-15,Good,,74,Maya Trivedi
