alert_id,student_id,alert_type,priority,message,created_date,status,assigned_to,escalated,parent_notified,sms_sent,email_sent,action_required,follow_up_date
ALT_INST_002_000001,STU_INST_002_0001,Uniform Violations,Medium,Uniform Violations flagged for student Rajesh Dave - Class 9th B,2025-09-05 07:43:16,In Progress,MEN_INST_002_001,False,True,False,False,True,
ALT_INST_002_000002,STU_INST_002_0001,Parent Meeting Required,Medium,Parent Meeting Required flagged for student Rajesh Dave - Class 9th B,2025-09-01 07:43:16,Resolved,MEN_INST_002_001,False,True,False,True,False,2025-09-27
ALT_INST_002_000003,STU_INST_002_0001,Academic Decline,Medium,Academic Decline flagged for student Rajesh Dave - Class 9th B,2025-09-05 07:43:16,Acknowledged,MEN_INST_002_001,False,True,False,False,True,
ALT_INST_002_000004,STU_INST_002_0003,Fee Defaulter,Medium,Fee Defaulter flagged for student Aarav Subramanian - Class 9th E,2025-08-22 07:43:16,In Progress,MEN_INST_002_003,False,True,False,True,False,
ALT_INST_002_000005,STU_INST_002_0005,Low Attendance,Medium,Low Attendance flagged for student Aditi Kumar - Class 12th D,2025-09-13 07:43:16,Active,MEN_INST_002_005,False,True,True,False,True,2025-09-21
ALT_INST_002_000006,STU_INST_002_0006,Parent Meeting Required,Medium,Parent Meeting Required flagged for student Pihu Kulkarni - Class 9th D,2025-09-14 07:43:16,Active,MEN_INST_002_006,False,False,False,True,True,2025-09-25
ALT_INST_002_000007,STU_INST_002_0006,Behavioral Issues,Medium,Behavioral Issues flagged for student Pihu Kulkarni - Class 9th D,2025-08-23 07:43:16,Acknowledged,MEN_INST_002_006,False,False,True,True,False,
ALT_INST_002_000008,STU_INST_002_0007,Uniform Violations,Medium,Uniform Violations flagged for student Nidhi Dave - Class 9th D,2025-09-12 07:43:16,In Progress,MEN_INST_002_007,False,False,True,True,True,
ALT_INST_002_000009,STU_INST_002_0007,Behavioral Issues,Medium,Behavioral Issues flagged for student Nidhi Dave - Class 9th D,2025-09-12 07:43:16,Acknowledged,MEN_INST_002_007,False,True,False,False,False,
ALT_INST_002_000010,STU_INST_002_0008,Low Attendance,Medium,Low Attendance flagged for student Sai Patel - Class 9th B,2025-09-13 07:43:16,In Progress,MEN_INST_002_008,False,False,False,True,True,2025-09-20
ALT_INST_002_000011,STU_INST_002_0008,Low Attendance,Medium,Low Attendance flagged for student Sai Patel - Class 9th B,2025-08-26 07:43:16,Resolved,MEN_INST_002_008,False,True,False,True,False,2025-09-19
ALT_INST_002_000012,STU_INST_002_0008,Parent Meeting Required,Medium,Parent Meeting Required flagged for student Sai Patel - Class 9th B,2025-08-22 07:43:16,Acknowledged,MEN_INST_002_008,False,False,True,False,False,
ALT_INST_002_000013,STU_INST_002_0009,Poor Academic Performance,Medium,Poor Academic Performance flagged for student Seema Bhardwaj - Class 11th C,2025-09-04 07:43:16,In Progress,MEN_INST_002_009,False,False,False,False,False,
ALT_INST_002_000014,STU_INST_002_0009,Counseling Needed,Medium,Counseling Needed flagged for student Seema Bhardwaj - Class 11th C,2025-08-20 07:43:16,Active,MEN_INST_002_009,False,False,False,False,False,
ALT_INST_002_000015,STU_INST_002_0009,Medical Attention Required,Medium,Medical Attention Required flagged for student Seema Bhardwaj - Class 11th C,2025-09-04 07:43:16,Active,MEN_INST_002_009,False,True,False,False,False,2025-09-23
ALT_INST_002_000016,STU_INST_002_0011,Low Attendance,Medium,Low Attendance flagged for student Rahul Venkatesh - Class 10th D,2025-08-18 07:43:16,Active,MEN_INST_002_011,False,True,True,False,False,
ALT_INST_002_000017,STU_INST_002_0011,Chronic Absenteeism,Medium,Chronic Absenteeism flagged for student Rahul Venkatesh - Class 10th D,2025-08-24 07:43:16,Acknowledged,MEN_INST_002_011,False,False,True,False,True,2025-09-29
ALT_INST_002_000018,STU_INST_002_0011,Counseling Needed,Medium,Counseling Needed flagged for student Rahul Venkatesh - Class 10th D,2025-08-25 07:43:16,In Progress,MEN_INST_002_011,False,False,True,True,False,2025-09-22
ALT_INST_002_000019,STU_INST_002_0012,Low Attendance,Medium,Low Attendance flagged for student Divya Kamath - Class 9th B,2025-08-28 07:43:16,Active,MEN_INST_002_012,False,False,True,False,False,
ALT_INST_002_000020,STU_INST_002_0012,Fee Defaulter,Medium,Fee Defaulter flagged for student Divya Kamath - Class 9th B,2025-08-24 07:43:16,Active,MEN_INST_002_012,False,False,True,False,False,2025-09-21
ALT_INST_002_000021,STU_INST_002_0012,Chronic Absenteeism,Medium,Chronic Absenteeism flagged for student Divya Kamath - Class 9th B,2025-09-04 07:43:16,Active,MEN_INST_002_012,False,True,True,False,True,
ALT_INST_002_000022,STU_INST_002_0015,Medical Attention Required,Medium,Medical Attention Required flagged for student Myra Jindal - Class 11th E,2025-09-10 07:43:16,Resolved,MEN_INST_002_015,False,False,True,False,False,
ALT_INST_002_000023,STU_INST_002_0015,Fee Defaulter,Medium,Fee Defaulter flagged for student Myra Jindal - Class 11th E,2025-08-28 07:43:16,Acknowledged,MEN_INST_002_015,False,True,True,False,False,2025-09-19
ALT_INST_002_000024,STU_INST_002_0015,Medical Attention Required,Medium,Medical Attention Required flagged for student Myra Jindal - Class 11th E,2025-09-02 07:43:16,Resolved,MEN_INST_002_015,False,False,True,False,True,2025-10-01
ALT_INST_002_000025,STU_INST_002_0016,Poor Academic Performance,Low,Poor Academic Performance flagged for student Yogesh Shetty - Class 9th B,2025-08-31 07:43:16,Active,MEN_INST_002_016,False,True,True,True,True,
ALT_INST_002_000026,STU_INST_002_0019,Behavioral Issues,Medium,Behavioral Issues flagged for student Varun Hegde - Class 10th C,2025-09-09 07:43:16,Acknowledged,MEN_INST_002_019,False,True,False,True,True,2025-09-17
ALT_INST_002_000027,STU_INST_002_0020,Low Attendance,Medium,Low Attendance flagged for student Preeti Jadhav - Class 12th E,2025-08-21 07:43:16,In Progress,MEN_INST_002_020,False,True,True,False,True,2025-10-01
ALT_INST_002_000028,STU_INST_002_0022,Academic Decline,Low,Academic Decline flagged for student Ishaan Srivastava - Class 12th E,2025-09-10 07:43:16,In Progress,MEN_INST_002_022,False,False,False,False,True,2025-09-23
ALT_INST_002_000029,STU_INST_002_0024,Poor Academic Performance,Low,Poor Academic Performance flagged for student Arya Sethi - Class 9th A,2025-09-15 07:43:16,Resolved,MEN_INST_002_024,False,False,True,True,False,
ALT_INST_002_000030,STU_INST_002_0025,Homework Default,Medium,Homework Default flagged for student Harsh Bhardwaj - Class 12th E,2025-08-26 07:43:16,Active,MEN_INST_002_001,False,False,False,True,False,2025-09-30
ALT_INST_002_000031,STU_INST_002_0026,Academic Decline,Medium,Academic Decline flagged for student Tanvi Deshpande - Class 11th C,2025-09-03 07:43:16,Active,MEN_INST_002_002,False,False,False,False,True,
ALT_INST_002_000032,STU_INST_002_0026,Homework Default,Medium,Homework Default flagged for student Tanvi Deshpande - Class 11th C,2025-09-01 07:43:16,In Progress,MEN_INST_002_002,False,True,True,False,True,2025-09-26
ALT_INST_002_000033,STU_INST_002_0027,Behavioral Issues,Medium,Behavioral Issues flagged for student Ananya Rao - Class 12th E,2025-08-29 07:43:16,Resolved,MEN_INST_002_003,False,True,False,False,True,
ALT_INST_002_000034,STU_INST_002_0027,Poor Academic Performance,Medium,Poor Academic Performance flagged for student Ananya Rao - Class 12th E,2025-08-25 07:43:16,Resolved,MEN_INST_002_003,False,False,False,False,True,
ALT_INST_002_000035,STU_INST_002_0027,Fee Defaulter,Medium,Fee Defaulter flagged for student Ananya Rao - Class 12th E,2025-08-29 07:43:16,Acknowledged,MEN_INST_002_003,False,True,False,True,False,
ALT_INST_002_000036,STU_INST_002_0030,Medical Attention Required,Low,Medical Attention Required flagged for student Karan Chaturvedi - Class 9th D,2025-09-07 07:43:16,Acknowledged,MEN_INST_002_006,False,False,True,True,True,2025-09-25
ALT_INST_002_000037,STU_INST_002_0031,Medical Attention Required,Medium,Medical Attention Required flagged for student Kavya Jain - Class 9th D,2025-09-02 07:43:16,Acknowledged,MEN_INST_002_007,False,False,False,True,True,2025-09-18
ALT_INST_002_000038,STU_INST_002_0031,Parent Meeting Required,Medium,Parent Meeting Required flagged for student Kavya Jain - Class 9th D,2025-09-10 07:43:16,In Progress,MEN_INST_002_007,False,False,True,False,False,2025-09-29
ALT_INST_002_000039,STU_INST_002_0032,Behavioral Issues,Medium,Behavioral Issues flagged for student Ishika Deshpande - Class 12th B,2025-09-11 07:43:16,Acknowledged,MEN_INST_002_008,False,True,True,False,False,2025-09-30
ALT_INST_002_000040,STU_INST_002_0032,Counseling Needed,Medium,Counseling Needed flagged for student Ishika Deshpande - Class 12th B,2025-08-19 07:43:16,Active,MEN_INST_002_008,False,True,True,True,True,2025-09-19
ALT_INST_002_000041,STU_INST_002_0032,Medical Attention Required,Medium,Medical Attention Required flagged for student Ishika Deshpande - Class 12th B,2025-09-16 07:43:16,In Progress,MEN_INST_002_008,False,True,False,True,False,2025-10-01
ALT_INST_002_000042,STU_INST_002_0033,Parent Meeting Required,Medium,Parent Meeting Required flagged for student Tanvi Arora - Class 10th A,2025-08-30 07:43:16,Active,MEN_INST_002_009,False,False,True,False,True,2025-09-20
ALT_INST_002_000043,STU_INST_002_0033,Low Attendance,Medium,Low Attendance flagged for student Tanvi Arora - Class 10th A,2025-09-04 07:43:16,Resolved,MEN_INST_002_009,False,False,False,True,False,2025-09-26
