student_id,institute_id,parent_id,mentor_id,name,gender,grade,section,roll_number,date_of_birth,admission_date,academic_year,attendance_percentage,current_gpa,behavioral_incidents,risk_level,last_assessment_score,fees_paid,transport_mode,medium_of_instruction,special_needs
STU_INST_002_0001,INST_002,PAR_INST_002_0001,MEN_INST_002_001,Rajesh Dave,Male,9th,B,9t9874,2010-06-08,2025-05-30,2025-26,77.2,2.58,1,Medium,72,Partial,Bicycle,Hindi,None
STU_INST_002_0002,INST_002,PAR_INST_002_0002,MEN_INST_002_002,Sana Dubey,Female,9th,B,9t7182,2008-06-06,2025-06-16,2025-26,96.2,2.62,1,Low,54,No,Walking,Hindi,None
STU_INST_002_0003,INST_002,PAR_INST_002_0003,MEN_INST_002_003,Aarav Subramanian,Male,9th,E,117235,2007-11-02,2023-10-12,2025-26,80.6,3.84,5,Medium,63,Partial,Walking,Hindi,None
STU_INST_002_0004,INST_002,PAR_INST_002_0004,MEN_INST_002_004,Avni Kapoor,Female,11th,A,9t8841,2009-07-07,2024-01-30,2025-26,100.0,2.59,1,Low,61,Yes,Auto Rickshaw,Regional Language,None
STU_INST_002_0005,INST_002,PAR_INST_002_0005,MEN_INST_002_005,Aditi Kumar,Female,12th,D,127947,2008-01-22,2024-12-28,2025-26,73.6,2.61,0,Medium,91,Yes,School Bus,Hindi,None
STU_INST_002_0006,INST_002,PAR_INST_002_0006,MEN_INST_002_006,Pihu Kulkarni,Female,9th,D,113638,2009-01-09,2024-09-08,2025-26,94.4,1.89,3,Medium,49,Partial,Private Vehicle,Hindi,None
STU_INST_002_0007,INST_002,PAR_INST_002_0007,MEN_INST_002_007,Nidhi Dave,Female,9th,D,128039,2008-03-09,2023-12-12,2025-26,82.3,1.43,0,Medium,47,No,School Bus,Regional Language,None
STU_INST_002_0008,INST_002,PAR_INST_002_0008,MEN_INST_002_008,Sai Patel,Male,9th,B,111146,2009-08-08,2024-07-27,2025-26,66.1,2.5,1,Medium,80,Yes,Bicycle,English,None
STU_INST_002_0009,INST_002,PAR_INST_002_0009,MEN_INST_002_009,Seema Bhardwaj,Female,11th,C,101381,2009-12-23,2024-11-29,2025-26,40.4,2.69,1,Medium,93,Yes,Auto Rickshaw,Hindi,None
STU_INST_002_0010,INST_002,PAR_INST_002_0010,MEN_INST_002_010,Ira Bhardwaj,Female,11th,A,113077,2009-11-15,2024-07-13,2025-26,100.0,2.87,2,Low,43,Yes,Auto Rickshaw,English,None
STU_INST_002_0011,INST_002,PAR_INST_002_0011,MEN_INST_002_011,Rahul Venkatesh,Male,10th,D,9t8956,2010-04-21,2023-09-28,2025-26,68.9,2.75,1,Medium,87,No,Private Vehicle,Regional Language,None
STU_INST_002_0012,INST_002,PAR_INST_002_0012,MEN_INST_002_012,Divya Kamath,Female,9th,B,9t8437,2007-10-27,2024-09-05,2025-26,84.4,2.07,1,Medium,37,Partial,Auto Rickshaw,Regional Language,None
STU_INST_002_0013,INST_002,PAR_INST_002_0013,MEN_INST_002_013,Vinod Parikh,Male,9th,D,9t1227,2009-11-07,2025-07-12,2025-26,95.9,3.69,0,Low,38,Partial,Private Vehicle,Regional Language,None
STU_INST_002_0014,INST_002,PAR_INST_002_0014,MEN_INST_002_014,Meera Patel,Female,9th,B,104041,2009-10-26,2024-09-06,2025-26,100.0,2.65,1,Low,64,Yes,Bicycle,Hindi,None
STU_INST_002_0015,INST_002,PAR_INST_002_0015,MEN_INST_002_015,Myra Jindal,Female,11th,E,116092,2008-12-18,2023-12-08,2025-26,96.8,1.85,2,Medium,46,Partial,Bicycle,Hindi,None
STU_INST_002_0016,INST_002,PAR_INST_002_0016,MEN_INST_002_016,Yogesh Shetty,Male,9th,B,107404,2011-03-14,2023-10-22,2025-26,96.7,2.74,0,Low,80,Partial,Private Vehicle,Hindi,Dyslexia
STU_INST_002_0017,INST_002,PAR_INST_002_0017,MEN_INST_002_017,Ravi Nair,Male,12th,C,102688,2009-06-10,2025-04-06,2025-26,97.2,2.56,1,Low,74,No,Auto Rickshaw,English,None
STU_INST_002_0018,INST_002,PAR_INST_002_0018,MEN_INST_002_018,Rahul Saxena,Male,9th,E,107792,2010-06-20,2023-11-28,2025-26,100.0,3.17,0,Low,43,No,Bicycle,Hindi,None
STU_INST_002_0019,INST_002,PAR_INST_002_0019,MEN_INST_002_019,Varun Hegde,Male,10th,C,106450,2008-09-15,2024-03-17,2025-26,63.2,3.02,1,Medium,64,Partial,School Bus,English,None
STU_INST_002_0020,INST_002,PAR_INST_002_0020,MEN_INST_002_020,Preeti Jadhav,Female,12th,E,9t8217,2011-04-22,2024-12-14,2025-26,51.3,2.57,0,Medium,79,Yes,Bicycle,Hindi,None
STU_INST_002_0021,INST_002,PAR_INST_002_0021,MEN_INST_002_021,Amit Pal,Male,12th,E,121562,2011-08-05,2024-04-18,2025-26,91.1,2.78,0,Low,39,Partial,Walking,Hindi,None
STU_INST_002_0022,INST_002,PAR_INST_002_0022,MEN_INST_002_022,Ishaan Srivastava,Male,12th,E,127756,2007-12-31,2024-11-25,2025-26,100.0,3.59,1,Low,72,Yes,Private Vehicle,Hindi,None
STU_INST_002_0023,INST_002,PAR_INST_002_0023,MEN_INST_002_023,Sunita Deshpande,Female,10th,C,125343,2010-01-28,2024-04-22,2025-26,100.0,2.83,2,Low,36,Yes,Auto Rickshaw,Regional Language,None
STU_INST_002_0024,INST_002,PAR_INST_002_0024,MEN_INST_002_024,Arya Sethi,Female,9th,A,9t5375,2009-12-27,2023-10-20,2025-26,87.1,3.95,1,Low,64,No,Private Vehicle,Regional Language,None
STU_INST_002_0025,INST_002,PAR_INST_002_0025,MEN_INST_002_001,Harsh Bhardwaj,Male,12th,E,126861,2011-08-18,2024-03-04,2025-26,94.8,2.96,2,Medium,87,No,Auto Rickshaw,English,None
STU_INST_002_0026,INST_002,PAR_INST_002_0026,MEN_INST_002_002,Tanvi Deshpande,Female,11th,C,9t4832,2008-01-27,2024-08-27,2025-26,79.9,2.48,1,Medium,72,No,Private Vehicle,English,None
STU_INST_002_0027,INST_002,PAR_INST_002_0027,MEN_INST_002_003,Ananya Rao,Female,12th,E,107397,2008-02-12,2025-01-12,2025-26,71.1,2.26,1,Medium,82,No,Private Vehicle,Regional Language,None
STU_INST_002_0028,INST_002,PAR_INST_002_0028,MEN_INST_002_004,Riya Mishra,Female,10th,C,104619,2010-03-05,2024-04-08,2025-26,74.3,3.09,1,Low,75,Partial,Private Vehicle,Hindi,None
STU_INST_002_0029,INST_002,PAR_INST_002_0029,MEN_INST_002_005,Samar Jadhav,Male,9th,B,9t9707,2011-08-24,2024-08-26,2025-26,82.8,3.68,0,Low,60,Partial,School Bus,English,None
STU_INST_002_0030,INST_002,PAR_INST_002_0030,MEN_INST_002_006,Karan Chaturvedi,Male,9th,D,116002,2010-01-27,2024-10-30,2025-26,72.4,3.69,0,Low,73,Yes,Private Vehicle,Regional Language,None
STU_INST_002_0031,INST_002,PAR_INST_002_0031,MEN_INST_002_007,Kavya Jain,Female,9th,D,9t9623,2008-09-29,2025-06-17,2025-26,81.4,1.39,1,Medium,53,No,School Bus,Hindi,None
STU_INST_002_0032,INST_002,PAR_INST_002_0032,MEN_INST_002_008,Ishika Deshpande,Female,12th,B,115167,2010-11-10,2024-09-25,2025-26,78.1,2.77,1,Medium,80,No,School Bus,Hindi,Learning Disability
STU_INST_002_0033,INST_002,PAR_INST_002_0033,MEN_INST_002_009,Tanvi Arora,Female,10th,A,122452,2009-01-23,2025-03-05,2025-26,83.9,2.58,3,Medium,93,Yes,Auto Rickshaw,English,Physical Disability
STU_INST_002_0034,INST_002,PAR_INST_002_0034,MEN_INST_002_010,Ankit Patil,Male,11th,E,106627,2008-02-20,2024-07-12,2025-26,95.4,3.43,0,Low,92,No,Bicycle,English,None
STU_INST_002_0035,INST_002,PAR_INST_002_0035,MEN_INST_002_011,Yash Chaturvedi,Male,9th,C,129109,2008-06-01,2024-10-24,2025-26,87.9,2.9,1,Low,79,Partial,School Bus,Hindi,None
STU_INST_002_0036,INST_002,PAR_INST_002_0036,MEN_INST_002_012,Deepika Bhat,Female,12th,E,9t8768,2009-04-22,2024-05-07,2025-26,70.7,2.74,1,Medium,51,Partial,Auto Rickshaw,Hindi,None
STU_INST_002_0037,INST_002,PAR_INST_002_0037,MEN_INST_002_013,Kiara Pal,Female,12th,D,9t6039,2007-10-14,2025-02-03,2025-26,58.4,2.17,2,High,60,Partial,Bicycle,English,None
STU_INST_002_0038,INST_002,PAR_INST_002_0038,MEN_INST_002_014,Advik Biswas,Male,10th,C,9t9852,2008-07-25,2025-02-09,2025-26,65.7,2.58,1,Medium,36,Partial,School Bus,Hindi,None
